learner,n,R_clean_mean,R_clean_median,R_clean_std,R_noisy_mean,R_noisy_median,R_noisy_std,DeltaR_noise_mean,DeltaR_noise_median,DeltaR_noise_std
L0,20,0.09259697940947939,0.03383838383838384,0.11441798080029839,0.10964148698523699,0.037339743589743596,0.1364036164048214,0.017044507575757574,0.0013888888888888883,0.025706282291933138
L1,20,0.30664867212733066,0.2554166666666666,0.18826828203455062,0.30590580168476506,0.24578125,0.18706407398235836,-0.0007428704425655678,0.0010069444444444908,0.00957691333500368
L2,20,0.27060310505889773,0.22537746806039488,0.19194447678767845,0.2709297749168176,0.23132984901277584,0.19215382491309202,0.00032666985791985866,0.0016319444444444844,0.009133602868716928
L3,20,0.3040762470930154,0.24875,0.19898893204411314,0.3053385200927122,0.24171874999999998,0.19877525379866604,0.0012622729996967798,0.0021825396825396817,0.007773545292478373
L4,20,0.302172200089883,0.23333333333333334,0.19061598821787032,0.3057607972566051,0.23532986111111112,0.18920449561533959,0.0035885971667221593,0.0013888888888888978,0.008255857704662485
