environment,n,representation_dim_mean,representation_dim_median,representation_dim_std,active_representation_dim_mean,active_representation_dim_median,active_representation_dim_std,task_probe_clean_accuracy_mean,task_probe_clean_accuracy_median,task_probe_clean_accuracy_std,task_probe_noisy_accuracy_mean,task_probe_noisy_accuracy_median,task_probe_noisy_accuracy_std,task_probe_degradation_mean,task_probe_degradation_median,task_probe_degradation_std,task_variable_clean_recoverability_mean,task_variable_clean_recoverability_median,task_variable_clean_recoverability_std,task_variable_noisy_recoverability_mean,task_variable_noisy_recoverability_median,task_variable_noisy_recoverability_std,relevant_Z_clean_recoverability_mean,relevant_Z_clean_recoverability_median,relevant_Z_clean_recoverability_std,relevant_Z_noisy_recoverability_mean,relevant_Z_noisy_recoverability_median,relevant_Z_noisy_recoverability_std,nuisance_clean_recoverability_mean,nuisance_clean_recoverability_median,nuisance_clean_recoverability_std,nuisance_noisy_recoverability_mean,nuisance_noisy_recoverability_median,nuisance_noisy_recoverability_std,latent_absolute_drift_mean,latent_absolute_drift_median,latent_absolute_drift_std,latent_relative_drift_mean,latent_relative_drift_median,latent_relative_drift_std,latent_cosine_drift_mean,latent_cosine_drift_median,latent_cosine_drift_std,task_logit_drift_mean,task_logit_drift_median,task_logit_drift_std,support_clean_nn_distance_mean,support_clean_nn_distance_median,support_clean_nn_distance_std,support_noisy_nn_distance_mean,support_noisy_nn_distance_median,support_noisy_nn_distance_std,support_shift_mean,support_shift_median,support_shift_std,interaction_probe_clean_accuracy_mean,interaction_probe_clean_accuracy_median,interaction_probe_clean_accuracy_std,interaction_probe_noisy_accuracy_mean,interaction_probe_noisy_accuracy_median,interaction_probe_noisy_accuracy_std,interaction_clean_uplift_mean,interaction_clean_uplift_median,interaction_clean_uplift_std,interaction_noisy_uplift_mean,interaction_noisy_uplift_median,interaction_noisy_uplift_std
ENV-1,15,8.0,8.0,0.0,8.0,8.0,0.0,0.7513090860106417,0.74,0.14390760084934692,0.7515789946341573,0.7266666666666666,0.14246776080108395,-0.0002699086235154136,0.0,0.010191685857011258,0.7884195598183089,0.7518143972885353,0.13620706579762243,0.7914103702406609,0.7497789566755083,0.13181143802984757,,,,,,,0.7299631619951175,0.6255198051593187,0.18698986340612853,0.7265211844173299,0.6181728192464873,0.18621037550233116,0.1755840123992195,0.18512500011089442,0.024082956236063935,0.06747513600018201,0.07541578145735751,0.011574902630490585,0.0023136903949651307,0.0028268582702444174,0.0007828567451442158,0.040106460293722064,0.04568779792285957,0.020179959858641173,0.7310908839871791,0.7307469107505024,0.08694770033990859,0.7451248402627981,0.7420543140728372,0.08565812724707407,0.014033956275618912,0.012730498043364014,0.0043595209214097605,0.884800565770863,0.8910891089108911,0.09439594564648542,0.8823338497115017,0.8976897689768978,0.0908383192616457,0.13349147976022094,0.15306122448979587,0.08560820792084098,0.1307548550773445,0.14333333333333342,0.08261139459333867
ENV-2,15,8.0,8.0,0.0,8.0,8.0,0.0,0.9902534113060428,1.0,0.011433043507692156,0.9897335932423651,0.996101364522417,0.011575439085974444,0.0005198180636777276,0.0,0.0024102972048072207,0.9987286324786325,1.0,0.003436353192973114,0.9988953294538401,1.0,0.0027549498577631813,,,,,,,0.6603871850588706,0.685631626557375,0.1487481283568083,0.6608592084145408,0.6997434271819286,0.14707318970062444,0.14460103625227935,0.1402620822688501,0.00771899515962906,0.05650220603732388,0.058058856774422185,0.004444996276792315,0.0015583124211296278,0.0016095273753613372,0.0002768770672477243,0.08526819122334152,0.08798942484929373,0.004958336205374873,0.057899237792225534,0.06449542188939099,0.03240222861491753,0.1584431117765919,0.160978092733621,0.017913623772497028,0.10054387398436632,0.09572774640744386,0.018956937326982875,0.9996101364522417,1.0,0.0014587358233036946,0.9996101364522417,1.0,0.0014587358233036946,0.009356725146198838,0.0,0.011054539476614294,0.009876543209876566,0.003898635477582957,0.011219824662325847
ENV-3,15,7.6,8.0,0.7999999999999999,7.2,8.0,1.6,0.7584848484848484,0.7923076923076923,0.14026071701926845,0.7521484071484072,0.7974358974358974,0.13604052812802703,0.0063364413364413045,0.00303030303030305,0.022203586468265386,0.9145935497709304,0.9191624916653145,0.08823778620027285,0.9080851328568638,0.9106919068546561,0.08959222205569722,0.9988888888888889,1.0,0.004157397096415476,0.9985185185185185,1.0,0.005543196128553967,0.9458117263630952,0.9509376851814615,0.04259085825549208,0.940325686338424,0.9426443224253321,0.04316637895702094,0.19092222382733728,0.1841182874069601,0.04521156695214364,0.08343273566960639,0.08596378234286456,0.013585776024482079,0.003651917066047395,0.003973026053338069,0.0012057420748866603,0.11507181345212518,0.09990655470655245,0.05233131160507478,0.49740694401629637,0.4669871632401094,0.08333462482449823,0.516827913476177,0.49191876800940687,0.08487018919403015,0.019420969459880696,0.024238651942989853,0.009045115743598264,0.9048688811188813,0.9538461538461539,0.07876265871989302,0.8906381118881119,0.9307692307692307,0.08276012624581214,0.14638403263403266,0.1692307692307693,0.12878248770477643,0.13848970473970468,0.15384615384615352,0.10323207285308113
ENV-4,15,8.0,8.0,0.0,8.0,8.0,0.0,0.9296296296296295,0.9777777777777777,0.07675696954097298,0.9269135802469136,0.9703703703703703,0.07383562443740536,0.002716049382716057,0.0018518518518518823,0.004529366994529438,0.9541059675179694,0.9822775263951735,0.05403838063963612,0.9516650768615506,0.980643539467069,0.05436394879671464,,,,,,,0.6198756514857704,0.5352581686266636,0.23576259765269636,0.6177556784560037,0.5344339271033293,0.234770915704195,0.16237802570774112,0.16371671453847128,0.008822327088518715,0.0656888195334951,0.06591605092576246,0.010017314228752398,0.002249167929872992,0.0021517162285283283,0.0007528988950413729,0.09615625300422184,0.09305074037381428,0.009994639518079121,0.7689088266746985,0.7271870945630593,0.24589948303491632,0.7803789222979837,0.7358996283332315,0.24495077677041624,0.011470095623284944,0.010508253682174784,0.003133327536997434,0.9477777777777778,0.9611111111111111,0.050666341779335225,0.949506172839506,0.9611111111111111,0.04843441332825314,0.018148148148148167,0.011111111111111072,0.03165312684329109,0.0225925925925926,0.012962962962962954,0.030981505464411065
