environment,n,R_clean_mean,R_clean_median,R_clean_std,R_noisy_mean,R_noisy_median,R_noisy_std,DeltaR_noise_mean,DeltaR_noise_median,DeltaR_noise_std
ENV-1,25,0.18390624010136203,0.15476190476190477,0.13303479270434415,0.1857836377714427,0.16666666666666666,0.13301129862717398,0.0018773976700805978,0.0,0.008033756452196412
ENV-2,25,0.5172,0.5925,0.1623223182436722,0.5301374999999999,0.6053124999999999,0.146621885090528,0.012937499999999989,0.0028124999999999956,0.023472557114639216
ENV-3,25,0.18421596736596738,0.2,0.07155832218325478,0.18808441142191143,0.20625,0.0671939268758725,0.0038684440559440558,0.006249999999999978,0.012013747458344515
ENV-4,25,0.13555555555555554,0.08888888888888889,0.1180499998692749,0.13405555555555554,0.1,0.11239063271014917,-0.0014999999999999996,0.001388888888888884,0.008258179633805346
