learner,environment,seed,R_clean,R_noisy,DeltaR_noise
L0,ENV-1,124586,0.0,0.0,0.0
L1,ENV-1,124586,0.14634146341463414,0.15853658536585366,0.012195121951219523
L2,ENV-1,124586,0.23170731707317074,0.23170731707317072,-2.7755575615628914e-17
L3,ENV-1,124586,0.17073170731707318,0.1676829268292683,-0.0030487804878048808
L4,ENV-1,124586,0.2073170731707317,0.20731707317073172,2.7755575615628914e-17
L0,ENV-1,223691,0.0,0.0,0.0
L1,ENV-1,223691,0.34285714285714286,0.3333333333333333,-0.009523809523809545
L2,ENV-1,223691,0.21904761904761905,0.23095238095238096,0.011904761904761918
L3,ENV-1,223691,0.3142857142857143,0.3238095238095238,0.009523809523809545
L4,ENV-1,223691,0.38095238095238093,0.39285714285714285,0.011904761904761918
L0,ENV-1,537173,0.0,0.0,0.0
L1,ENV-1,537173,0.42424242424242425,0.4368686868686869,0.012626262626262652
L2,ENV-1,537173,0.29292929292929293,0.2803030303030303,-0.012626262626262652
L3,ENV-1,537173,0.43434343434343436,0.4267676767676768,-0.007575757575757569
L4,ENV-1,537173,0.35353535353535354,0.3484848484848485,-0.0050505050505050275
L0,ENV-1,538839,0.0,0.0,0.0
L1,ENV-1,538839,0.18181818181818182,0.18686868686868685,0.0050505050505050275
L2,ENV-1,538839,0.1414141414141414,0.13383838383838384,-0.007575757575757569
L3,ENV-1,538839,0.1414141414141414,0.1414141414141414,0.0
L4,ENV-1,538839,0.09090909090909091,0.1111111111111111,0.020202020202020193
L0,ENV-1,965182,0.0,0.0,0.0
L1,ENV-1,965182,0.13095238095238096,0.125,-0.005952380952380959
L2,ENV-1,965182,0.15476190476190477,0.16666666666666666,0.01190476190476189
L3,ENV-1,965182,0.09523809523809523,0.09821428571428571,0.0029761904761904795
L4,ENV-1,965182,0.14285714285714285,0.14285714285714285,0.0
L0,ENV-2,124586,0.2625,0.33218749999999997,0.06968749999999996
L1,ENV-2,124586,0.64125,0.6409374999999999,-0.00031250000000004885
L2,ENV-2,124586,0.50875,0.5225,0.013749999999999929
L3,ENV-2,124586,0.60875,0.60875,0.0
L4,ENV-2,124586,0.6775,0.6765625,-0.0009375000000000355
L0,ENV-2,223691,0.26625,0.328125,0.06187500000000001
L1,ENV-2,223691,0.41625,0.4190625,0.0028124999999999956
L2,ENV-2,223691,0.35,0.3446875,-0.005312499999999998
L3,ENV-2,223691,0.3775,0.3859375,0.008437499999999987
L4,ENV-2,223691,0.4425,0.44875,0.006249999999999978
L0,ENV-2,537173,0.30875,0.34375000000000006,0.03500000000000003
L1,ENV-2,537173,0.6375,0.6278124999999999,-0.009687500000000071
L2,ENV-2,537173,0.8325,0.8346875,0.002187500000000009
L3,ENV-2,537173,0.6175,0.624375,0.0068749999999999645
L4,ENV-2,537173,0.62875,0.625,-0.003750000000000031
L0,ENV-2,538839,0.30625,0.3315625,0.02531249999999996
L1,ENV-2,538839,0.6275,0.628125,0.0006250000000000977
L2,ENV-2,538839,0.37875,0.38312500000000005,0.004375000000000073
L3,ENV-2,538839,0.6575,0.665,0.007500000000000062
L4,ENV-2,538839,0.5875,0.6053124999999999,0.017812499999999898
L0,ENV-2,965182,0.25,0.330625,0.080625
L1,ENV-2,965182,0.6075,0.61,0.0024999999999999467
L2,ENV-2,965182,0.5925,0.5943750000000001,0.001875000000000071
L3,ENV-2,965182,0.7175,0.7153125,-0.002187500000000009
L4,ENV-2,965182,0.62875,0.626875,-0.001875000000000071
L0,ENV-3,124586,0.045454545454545456,0.06363636363636363,0.018181818181818174
L1,ENV-3,124586,0.20909090909090908,0.21818181818181817,0.009090909090909094
L2,ENV-3,124586,0.09090909090909091,0.10454545454545454,0.013636363636363627
L3,ENV-3,124586,0.20909090909090908,0.21590909090909088,0.006818181818181807
L4,ENV-3,124586,0.20909090909090908,0.22045454545454546,0.011363636363636381
L0,ENV-3,223691,0.05,0.06562499999999999,0.015624999999999986
L1,ENV-3,223691,0.2375,0.2265625,-0.010937499999999989
L2,ENV-3,223691,0.11875,0.10625,-0.012499999999999997
