learner,environment,h1_c_total_ratio_vs_mem_mean,h1_compression_mem_over_learner_mean,h1_utility_delta_vs_mem_mean,h3r_E_noise_mean,h3r_clean_gap_mean,join_key
L1,ENV-1,0.06255436081259627,15.990383950190246,0.3214620900739761,0.0028791398303593396,0.24524231865695284,learner+environment
L1,ENV-2,0.03948207918934134,25.327946768060837,0.086,-0.05531250000000001,0.30724999999999997,learner+environment
L1,ENV-3,0.0570620060500336,17.553587647593098,0.2545098039215687,-0.010938374125874117,0.14038111888111887,learner+environment
L1,ENV-4,0.03421329459500075,29.22840409956076,0.5755555555555555,-0.0077777777777777776,0.16333333333333333,learner+environment
L2,ENV-1,0.0632684022884924,15.809917920656636,0.32141665900974575,0.0007215007215007119,0.2079720550452258,learner+environment
L2,ENV-2,0.03989491461812723,25.06585136406397,0.1165,-0.051124999999999976,0.25375000000000003,learner+environment
L2,ENV-3,0.05791715872925753,17.294407158836687,0.27690196078431367,-0.0150789627039627,0.10030244755244755,learner+environment
L2,ENV-4,0.03462655913439864,28.879566003616638,0.6033333333333333,-0.001388888888888894,0.15,learner+environment
L3,ENV-1,0.06309530132463878,15.853292181069957,0.3151893628012488,0.00037509238728751504,0.23120261851969168,learner+environment
L3,ENV-2,0.03979483330205792,25.128890286073563,0.12025000000000001,-0.05037499999999999,0.31700000000000006,learner+environment
L3,ENV-3,0.05770984898883961,17.356533453075887,0.25784313725490204,-0.010351252913752917,0.13771445221445222,learner+environment
L3,ENV-4,0.034526373791514305,28.963365977511792,0.5733333333333333,-0.002777777777777779,0.16,learner+environment
L4,ENV-1,0.0633549527704192,15.788319672131147,0.33167815817360996,0.005411255411255422,0.23511420828493995,learner+environment
L4,ENV-2,0.03994495527616188,25.034450360162857,0.07675000000000001,-0.051000000000000045,0.31425000000000003,learner+environment
L4,ENV-3,0.0580208135994665,17.263510495757032,0.2900392156862745,-0.00851267482517482,0.14004778554778557,learner+environment
L4,ENV-4,0.03467665180584081,28.83784759841098,0.57,0.0002777777777777865,0.1488888888888889,learner+environment
