learner,n,representation_dim_mean,representation_dim_median,representation_dim_std,active_representation_dim_mean,active_representation_dim_median,active_representation_dim_std,task_probe_clean_accuracy_mean,task_probe_clean_accuracy_median,task_probe_clean_accuracy_std,task_probe_noisy_accuracy_mean,task_probe_noisy_accuracy_median,task_probe_noisy_accuracy_std,task_probe_degradation_mean,task_probe_degradation_median,task_probe_degradation_std,task_variable_clean_recoverability_mean,task_variable_clean_recoverability_median,task_variable_clean_recoverability_std,task_variable_noisy_recoverability_mean,task_variable_noisy_recoverability_median,task_variable_noisy_recoverability_std,relevant_Z_clean_recoverability_mean,relevant_Z_clean_recoverability_median,relevant_Z_clean_recoverability_std,relevant_Z_noisy_recoverability_mean,relevant_Z_noisy_recoverability_median,relevant_Z_noisy_recoverability_std,nuisance_clean_recoverability_mean,nuisance_clean_recoverability_median,nuisance_clean_recoverability_std,nuisance_noisy_recoverability_mean,nuisance_noisy_recoverability_median,nuisance_noisy_recoverability_std,latent_absolute_drift_mean,latent_absolute_drift_median,latent_absolute_drift_std,latent_relative_drift_mean,latent_relative_drift_median,latent_relative_drift_std,latent_cosine_drift_mean,latent_cosine_drift_median,latent_cosine_drift_std,task_logit_drift_mean,task_logit_drift_median,task_logit_drift_std,support_clean_nn_distance_mean,support_clean_nn_distance_median,support_clean_nn_distance_std,support_noisy_nn_distance_mean,support_noisy_nn_distance_median,support_noisy_nn_distance_std,support_shift_mean,support_shift_median,support_shift_std,interaction_probe_clean_accuracy_mean,interaction_probe_clean_accuracy_median,interaction_probe_clean_accuracy_std,interaction_probe_noisy_accuracy_mean,interaction_probe_noisy_accuracy_median,interaction_probe_noisy_accuracy_std,interaction_clean_uplift_mean,interaction_clean_uplift_median,interaction_clean_uplift_std,interaction_noisy_uplift_mean,interaction_noisy_uplift_median,interaction_noisy_uplift_std
L0,12,7.5,8.0,0.8660254037844386,7.0,8.0,1.7320508075688772,0.978063892126392,0.9972222222222222,0.039384152306728946,0.9735889881723215,0.9944444444444445,0.04971911090456955,0.00447490395407063,0.0,0.013286615458152384,0.9999993929518806,1.0,1.0515098368300255e-06,0.9989790694462007,1.0,0.0018351274176377874,1.0,1.0,0.0,1.0,1.0,0.0,0.8704445654425804,0.9999962933111095,0.2246648621628621,0.8682981477103288,0.9967725983510705,0.2233429089845767,0.14043455853024472,0.13615373546883808,0.014273119406335157,0.05388244510217003,0.049187768258136796,0.009133349604001379,0.0014083386028346607,0.0011237030191634434,0.000576150993875853,0.09612926968912139,0.08467905190449754,0.07574597114392613,0.6355274798204009,0.6806808060609988,0.45226992646914027,0.676017833509948,0.6837435981935109,0.4101668058827885,0.0404903536895472,0.0107348495717213,0.055254946607576814,0.9746102855477856,1.0,0.06259924212613421,0.9781019327894328,1.0,0.057327002993791266,-0.0034536065786065773,0.0,0.028074716614726197,0.0045129446171112975,0.0,0.013936206585965045
L1,12,8.0,8.0,0.0,8.0,8.0,0.0,0.8288712403121181,0.8336805555555555,0.1552950459863169,0.8233535594673356,0.8126157407407408,0.1553534951188715,0.005517680844782602,0.002592592592592591,0.0130160079652825,0.866611672004938,0.9054980428378284,0.13395147171260577,0.8665837395330368,0.8992621669480807,0.13007663591875682,1.0,1.0,0.0,1.0,1.0,0.0,0.6496683302910323,0.6012014322502317,0.18176641642916055,0.6488184600004796,0.5988510122011281,0.18074944456851252,0.17882581781940876,0.17654922727978883,0.0334477406077449,0.07443690811903823,0.0761852116631154,0.012851002387915745,0.0029028096273427256,0.002878399472878588,0.0010519133208198293,0.08288762125503829,0.0865189697783503,0.02131080153861333,0.48809999479616906,0.5398352240288707,0.26835454317587515,0.5226950699858448,0.5667433342899515,0.2391109131345383,0.03459507518967561,0.01988217666888148,0.03174851312134409,0.9180079692950979,0.9505555555555556,0.07939101537498815,0.9086700607800619,0.9456410256410255,0.0869758671449784,0.08913672898297985,0.04965277777777782,0.0972925148357103,0.08531650131272635,0.05347222222222203,0.08641389606856627
L2,12,8.0,8.0,0.0,8.0,8.0,0.0,0.8327487321883819,0.8200000000000001,0.13784574677609573,0.8348527512092443,0.8255128205128206,0.13385419796679168,-0.0021040190208625,-0.002641325536062389,0.016671448260793798,0.9498680231678961,0.9875041392674623,0.07483154009081758,0.9467607892141156,0.9817612450193206,0.0738520692029368,1.0,1.0,0.0,1.0,1.0,0.0,0.8740766666423299,0.9008221786504031,0.10703622318877623,0.8695645319845963,0.8961636966026361,0.1067748062368333,0.16018852891383834,0.15686741348183225,0.013234009602276872,0.06220284209472036,0.06142494029103563,0.004873364390409615,0.0019487803058664801,0.0019762327701445337,0.0003430915344151481,0.0762768744433497,0.08166271454305252,0.023999051900338637,0.46127744330929016,0.5535879473640686,0.23873378544702692,0.4974962031904151,0.5678532461150607,0.2060042085098864,0.03621875988112495,0.01537978589655642,0.035667480234034404,0.9434204221377134,0.9822115384615384,0.06581617310214738,0.9393553524090418,0.9674679487179487,0.06441341453598634,0.11067168994933178,0.06262626262626264,0.1209797438896823,0.10450260119979744,0.08408340834083405,0.10648989059586347
L3,12,8.0,8.0,0.0,8.0,8.0,0.0,0.8339844901239415,0.8486111111111111,0.15484953800024398,0.8310475912265503,0.8414351851851853,0.15403678682295427,0.0029368988973910992,0.0031653165316531395,0.005674387085301074,0.8694408122879173,0.905663244773814,0.12831795265710474,0.8693862904796384,0.8993216376709254,0.1254027832200928,1.0,1.0,0.0,1.0,1.0,0.0,0.6465349928010861,0.6018405226072103,0.18765752187657245,0.6451835372314103,0.599995805471752,0.1847682527694325,0.18065225265851026,0.17641500775384655,0.03139340514501786,0.07505385063314471,0.07608740304395037,0.012834869676695199,0.002961496287873334,0.0028851515182884563,0.0011221237808702281,0.08310755395692099,0.08700525940709625,0.021066181775807255,0.4914121693677688,0.55047019926558,0.26716339212643464,0.5267589654288507,0.5738518428010678,0.23640936595580359,0.03534679606108194,0.02124686405133705,0.033442191869388675,0.9196951649234507,0.9527777777777777,0.08157340626013049,0.9149315462549815,0.9435897435897437,0.08298310244626941,0.08571067479950921,0.0559027777777778,0.09717342349384939,0.08388395502843134,0.059722222222222066,0.0875818994870268
L4,12,8.0,8.0,0.0,8.0,8.0,0.0,0.8134278645381201,0.8034188034188035,0.16055726858211494,0.8126253290143522,0.8107549857549857,0.1585716945407899,0.000802535523767763,0.0009259259259259411,0.010889386353485036,0.8838897365696692,0.9243352161322327,0.1160047550027656,0.8808599980931531,0.9163411465658386,0.11546198040327375,0.9944444444444445,1.0,0.007856742013183834,0.9925925925925926,1.0,0.010475656017578444,0.6543226009515385,0.6492325585333752,0.18091897966729178,0.6499625201060583,0.6463262818174094,0.17819857444470893,0.18175546481121954,0.1792151113267419,0.0336737550015233,0.07579757560168592,0.07549589443858964,0.014012397725993834,0.0029949349411017294,0.0027932280614084135,0.0011600788476276158,0.08235207812233288,0.0886611057211665,0.021606511752446975,0.4928152782943706,0.5616523432075335,0.26726067628343575,0.5280004126518795,0.5885830360094401,0.23746459827916055,0.035185134357508904,0.022372014776384813,0.0319194341172857,0.9155878594956567,0.9547008547008548,0.0897994610302524,0.9115514463806837,0.9435096153846154,0.0883756980621569,0.10215999495753648,0.09213421342134215,0.0925064313382759,0.09892611736633149,0.09444444444444444,0.08717269419656537
