environment,seed,learner,representation_dim,active_representation_dim,task_probe_clean_accuracy,task_probe_noisy_accuracy,task_probe_degradation,task_variable_clean_recoverability,task_variable_noisy_recoverability,relevant_Z_clean_recoverability,relevant_Z_noisy_recoverability,nuisance_clean_recoverability,nuisance_noisy_recoverability,latent_absolute_drift,latent_relative_drift,latent_cosine_drift,task_logit_drift,support_clean_nn_distance,support_noisy_nn_distance,support_shift,interaction_probe_clean_accuracy,interaction_probe_noisy_accuracy,interaction_clean_uplift,interaction_noisy_uplift
ENV-1,610101,L0,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.9999949481846899,0.996288149895119,0.136400845512987,0.04910565698283226,0.0011035606002164694,0.003047583674723974,0.7992147321292048,0.8085263885833202,0.009311656454115358,1.0,1.0,0.0,0.0
ENV-1,610101,L1,8,8,0.74,0.7366666666666667,0.0033333333333332993,0.7518143972885353,0.7497789566755083,nan,nan,0.5300438704924119,0.5256855032122708,0.20280334210559428,0.07656649189880892,0.0028617961252554204,0.054851170161619195,0.7180532758765164,0.7380521565758453,0.01999888069932898,0.94,0.94,0.19999999999999996,0.20333333333333325
ENV-1,610101,L2,8,8,0.84,0.8433333333333333,-0.0033333333333332993,0.9791666666666666,0.9826388888888888,nan,nan,0.9374707417813077,0.9236689699983152,0.17746606304220372,0.06545919522532502,0.002116289475193635,0.04214381833816722,0.5912451484671947,0.6039756465105587,0.012730498043364014,1.0,0.9866666666666667,0.16000000000000003,0.14333333333333342
ENV-1,610101,L3,8,8,0.74,0.7266666666666666,0.01333333333333342,0.7028901414677277,0.7070101434325573,nan,nan,0.5096152915115679,0.5062411185717755,0.20193578883496952,0.07694274181003213,0.0028701190677261346,0.0535312437666896,0.6952283682828204,0.7179731806467661,0.022744812363945655,0.95,0.9333333333333335,0.20999999999999996,0.2066666666666669
ENV-1,610101,L4,8,8,0.75,0.7266666666666666,0.023333333333333428,0.8263796787503684,0.7906781117988015,nan,nan,0.5202396790005919,0.5162091009280001,0.20044699936368982,0.07674616541932196,0.0029565781909953793,0.051636853779792824,0.7050882656615935,0.7255936432713733,0.020505377609779774,0.94,0.92,0.18999999999999995,0.19333333333333347
ENV-1,610103,L0,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.9999949708933136,0.9972932019595946,0.13394727981063848,0.04760125579132903,0.0010692070753905592,0.001513974598652229,0.8446795957139808,0.8552421597038119,0.01056256398983113,1.0,1.0,0.0,0.0
ENV-1,610103,L1,8,8,0.6732673267326733,0.6765676567656765,-0.0033003300330032292,0.6633061633061633,0.6900352733686067,nan,nan,0.5768830593411447,0.5795292051557689,0.1868314984108277,0.07580393142742187,0.002895002820501756,0.04568779792285957,0.7668776212671191,0.7781641606457385,0.011286539378619342,0.7722772277227723,0.7689768976897691,0.09900990099009899,0.09240924092409253
ENV-1,610103,L2,8,8,0.7920792079207921,0.8052805280528054,-0.01320132013201325,0.8044115544115544,0.8124314790981457,nan,nan,0.8178073434882451,0.8188985420437394,0.15762513397202216,0.058452278199798126,0.0016018696936611334,0.05625390283820656,0.660976816303592,0.680077310289859,0.01910049398626701,0.8910891089108911,0.8976897689768978,0.09900990099009899,0.09240924092409242
ENV-1,610103,L3,8,8,0.693069306930693,0.6897689768976898,0.0033003300330032292,0.7019162019162021,0.7027146193812861,nan,nan,0.5806660888597277,0.5838374658047675,0.18512500011089442,0.07541578145735751,0.0029001839688507776,0.04430270035234827,0.7770493037139858,0.7871133283529685,0.010064024638982705,0.7821782178217822,0.7755775577557756,0.08910891089108919,0.08580858085808585
ENV-1,610103,L4,8,8,0.6534653465346535,0.6435643564356436,0.00990099009900991,0.6571929071929071,0.659397492730826,nan,nan,0.6759910694899405,0.676265830888717,0.18383374666407695,0.07520595868127708,0.0028268582702444174,0.04302073857805768,0.7701497945657722,0.7837124595112265,0.013562664945454328,0.7821782178217822,0.8052805280528054,0.12871287128712872,0.16171617161716179
ENV-1,610107,L0,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.999994875340811,0.9967635671448911,0.13590662542468915,0.048106160456539974,0.0010803545810914065,0.003064953449059994,0.9058151119436721,0.9204632683243966,0.014648156380724475,1.0,1.0,0.0,0.0
ENV-1,610107,L1,8,8,0.6020408163265306,0.6020408163265306,0.0,0.6437908496732025,0.6540305010893245,nan,nan,0.6255198051593187,0.6181728192464873,0.19176911494879925,0.07687341739488888,0.0031068498348646085,0.05896532333860952,0.7307469107505024,0.7420543140728372,0.01130740332233482,0.7857142857142857,0.7823129251700681,0.18367346938775508,0.1802721088435375
ENV-1,610107,L2,8,8,0.5714285714285714,0.5850340136054423,-0.013605442176870874,0.7830065359477124,0.7793028322440086,nan,nan,0.9297366824521871,0.9264234135256656,0.1557538171906477,0.05682287501680269,0.0014679700447431396,0.029962508298258517,0.5481099387889837,0.5633415569458838,0.015231618156900106,0.8877551020408163,0.8775510204081632,0.3163265306122449,0.29251700680272097
ENV-1,610107,L3,8,8,0.6020408163265306,0.608843537414966,-0.006802721088435382,0.6339869281045751,0.6503267973856208,nan,nan,0.6230149563546931,0.6161541451387366,0.19217009230856938,0.07723930004509266,0.0030891183231697115,0.05831376804518007,0.7383982351939518,0.7484017975614359,0.01000356236748412,0.7551020408163265,0.7755102040816326,0.15306122448979587,0.16666666666666663
ENV-1,610107,L4,8,8,0.6122448979591837,0.6292517006802721,-0.017006802721088454,0.6784313725490195,0.69281045751634,nan,nan,0.62247404757681,0.6163867327461019,0.19174483828768288,0.07578583019590222,0.0027595978525724097,0.05530056726360564,0.7147301411487976,0.7241812329459495,0.009451091797151867,0.7857142857142857,0.7721088435374149,0.173469387755102,0.1428571428571428
